C,NEMP.WORLD,SROFFER,AEMO,PUBLIC,2022/06/15,14:30:23,0000000365231434,,0000000365231434
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,NSW1,45,0
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18040.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18080.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18120.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18160.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18200.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18240.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18280.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18320.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18360.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18400.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18440.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18480.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18520.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18560.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18600.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18640.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18680.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18720.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18760.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18800.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18840.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18880.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18920.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,18960.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,1,19000.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,22720.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,23440.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,24160.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,24880.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,25600.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,26320.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,27040.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,27760.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,28480.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,29200.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,29920.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,30640.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,31360.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,32080.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,32800.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,33520.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,34240.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,34960.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,35680.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,36400.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,QLD1,2,37120.69
