month,dataset,dataset_status,rows,files,min_interval,max_interval,blocker
2024-05,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-06,DISPATCHPRICE,MISSING,0,,,,
2024-06,DISPATCHREGIONSUM,MISSING,0,,,,
2024-06,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2024-06,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-06,DISPATCH_UNIT_SCADA,AVAILABLE,8640,1.0,2024-05-31T14:05:00Z,2024-06-30T14:00:00Z,
2024-06,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-06,UNIT_COMMITMENT,DERIVED_PARTIAL,8640,1.0,2024-05-31T14:05:00Z,2024-06-30T14:00:00Z,Derived proxy from SCADA only (no unit technology register)
2024-06,RENEWABLE_GENERATION,DERIVED_PARTIAL,8640,1.0,2024-05-31T14:05:00Z,2024-06-30T14:00:00Z,No DUID technology map in repo snapshot
2024-06,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-06,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-07,DISPATCHPRICE,MISSING,0,,,,
2024-07,DISPATCHREGIONSUM,MISSING,0,,,,
2024-07,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2024-07,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-07,DISPATCH_UNIT_SCADA,AVAILABLE,8928,1.0,2024-06-30T14:05:00Z,2024-07-31T14:00:00Z,
2024-07,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-07,UNIT_COMMITMENT,DERIVED_PARTIAL,8928,1.0,2024-06-30T14:05:00Z,2024-07-31T14:00:00Z,Derived proxy from SCADA only (no unit technology register)
2024-07,RENEWABLE_GENERATION,DERIVED_PARTIAL,8928,1.0,2024-06-30T14:05:00Z,2024-07-31T14:00:00Z,No DUID technology map in repo snapshot
2024-07,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-07,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-08,DISPATCHPRICE,MISSING,0,,,,
2024-08,DISPATCHREGIONSUM,MISSING,0,,,,
2024-08,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2024-08,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-08,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2024-08,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-08,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2024-08,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2024-08,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-08,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-09,DISPATCHPRICE,MISSING,0,,,,
2024-09,DISPATCHREGIONSUM,MISSING,0,,,,
2024-09,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2024-09,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-09,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2024-09,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-09,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2024-09,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2024-09,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-09,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-10,DISPATCHPRICE,MISSING,0,,,,
2024-10,DISPATCHREGIONSUM,AVAILABLE,8928,1.0,2024-09-30T14:05:00Z,2024-10-31T14:00:00Z,
2024-10,DISPATCHINTERCONNECTORRES,AVAILABLE,8928,1.0,2024-09-30T14:05:00Z,2024-10-31T14:00:00Z,
2024-10,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-10,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2024-10,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-10,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2024-10,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2024-10,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-10,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-11,DISPATCHPRICE,MISSING,0,,,,
2024-11,DISPATCHREGIONSUM,AVAILABLE,8640,1.0,2024-10-31T14:05:00Z,2024-11-30T14:00:00Z,
2024-11,DISPATCHINTERCONNECTORRES,AVAILABLE,8640,1.0,2024-10-31T14:05:00Z,2024-11-30T14:00:00Z,
2024-11,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-11,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2024-11,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-11,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2024-11,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2024-11,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-11,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-12,DISPATCHPRICE,MISSING,0,,,,
