month,dataset,dataset_status,lineage_hash,source_lineage_complete
2022-07,DISPATCHCONSTRAINT,MISSING,,False
2022-07,DISPATCH_UNIT_SCADA,MISSING,,False
2022-07,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-07,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-07,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-07,WEATHER,BLOCKED_EXTERNAL,,True
2022-07,FCAS,BLOCKED_EXTERNAL,,True
2022-08,DISPATCHPRICE,MISSING,,False
2022-08,DISPATCHREGIONSUM,MISSING,,False
2022-08,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-08,DISPATCHCONSTRAINT,MISSING,,False
2022-08,DISPATCH_UNIT_SCADA,MISSING,,False
2022-08,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-08,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-08,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-08,WEATHER,BLOCKED_EXTERNAL,,True
2022-08,FCAS,BLOCKED_EXTERNAL,,True
2022-09,DISPATCHPRICE,MISSING,,False
2022-09,DISPATCHREGIONSUM,MISSING,,False
2022-09,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-09,DISPATCHCONSTRAINT,MISSING,,False
2022-09,DISPATCH_UNIT_SCADA,MISSING,,False
2022-09,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-09,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-09,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-09,WEATHER,BLOCKED_EXTERNAL,,True
2022-09,FCAS,BLOCKED_EXTERNAL,,True
2022-10,DISPATCHPRICE,MISSING,,False
2022-10,DISPATCHREGIONSUM,MISSING,,False
2022-10,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-10,DISPATCHCONSTRAINT,MISSING,,False
2022-10,DISPATCH_UNIT_SCADA,MISSING,,False
2022-10,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-10,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-10,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-10,WEATHER,BLOCKED_EXTERNAL,,True
2022-10,FCAS,BLOCKED_EXTERNAL,,True
2022-11,DISPATCHPRICE,MISSING,,False
2022-11,DISPATCHREGIONSUM,MISSING,,False
2022-11,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-11,DISPATCHCONSTRAINT,MISSING,,False
2022-11,DISPATCH_UNIT_SCADA,MISSING,,False
2022-11,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-11,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-11,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-11,WEATHER,BLOCKED_EXTERNAL,,True
2022-11,FCAS,BLOCKED_EXTERNAL,,True
2022-12,DISPATCHPRICE,MISSING,,False
2022-12,DISPATCHREGIONSUM,MISSING,,False
2022-12,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-12,DISPATCHCONSTRAINT,MISSING,,False
2022-12,DISPATCH_UNIT_SCADA,MISSING,,False
2022-12,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-12,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-12,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-12,WEATHER,BLOCKED_EXTERNAL,,True
2022-12,FCAS,BLOCKED_EXTERNAL,,True
2023-01,DISPATCHPRICE,MISSING,,False
2023-01,DISPATCHREGIONSUM,MISSING,,False
2023-01,DISPATCHINTERCONNECTORRES,MISSING,,False
2023-01,DISPATCHCONSTRAINT,MISSING,,False
2023-01,DISPATCH_UNIT_SCADA,MISSING,,False
2023-01,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2023-01,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2023-01,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2023-01,WEATHER,BLOCKED_EXTERNAL,,True
2023-01,FCAS,BLOCKED_EXTERNAL,,True
2023-02,DISPATCHPRICE,MISSING,,False
2023-02,DISPATCHREGIONSUM,MISSING,,False
2023-02,DISPATCHINTERCONNECTORRES,MISSING,,False
2023-02,DISPATCHCONSTRAINT,MISSING,,False
2023-02,DISPATCH_UNIT_SCADA,MISSING,,False
2023-02,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2023-02,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2023-02,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
